model,epoch,tp,fp,tn,fn,precision,recall,auc
GRUNet,20,228973,9746,489907,3849,0.9834680571423663,0.959173756592479,0.9756892041413938
GRUNet,40,228981,9738,490150,3606,0.9844961240310077,0.9592072687972051,0.9759520332028702
GRUNet,60,228941,9778,489612,4144,0.982221078147457,0.9590397077735748,0.9753234491848698
GRUNet,80,226917,11802,490968,2788,0.9878626934546484,0.950561119977882,0.9724573031576316
GRUNet,100,229225,9494,489160,4596,0.9803439383117855,0.9602293910413499,0.975460574861888
