model,tp,fp,tn,fn,precision,recall,auc
GRUNet,229723,8996,491875,1881,0.9918783786117684,0.962315525785547,0.9792529759129697
GRUNet,229923,8796,492297,1459,0.9936944101096887,0.9631533309036985,0.9800992150512465
GRUNet,231466,7253,492022,1734,0.9925643224699828,0.9696169973902371,0.9830525706658895
GRUNet,232376,6343,491518,2238,0.9904609273103907,0.9734290106778263,0.9844482037648563
GRUNet,233244,5475,490959,2797,0.9881503637079999,0.9770650848906036,0.9857001718006918
